citation,doi,doi_num,citations,date.of.entry,type,journal,year_pdf,year_issue,participants_count,group_identifier,evolution_word,culture_word,universal_word,ppt_age_absolute,ppt_age_m_sd,multi_study_paper,countries,countries_info_given,crosscultural,culture_ppt_n,older_ppt
NA,10.1111/cdev.13338,13338,9,13.09.2022,research article,Child Development,2020,"2020, 3",175,no,no,no,no,"3, 5",NA,yes,germany,yes,no,192,no
NA,10.1111/cdev.13337,13337,6,13.09.2022,research article,Child Development,2019,"2019, 6",106,no,no,yes,no,"5, 6, 7",NA,no,belgium,yes,no,20,no
NA,10.1111/cdev.13336,13336,3,13.09.2022,research article,Child Development,2020,"2020, 4",580,no,no,no,yes,"4, 5, 6, 7, 8, 9",NA,no,canada,no,no,158,no
NA,10.1111/cdev.13335,13335,9,13.09.2022,research article,Child Development,2020,"2020, 5",247,no,no,yes,no,"3, 4, 5, 6",NA,no,italy,yes,no,140,no
NA,10.1111/cdev.13333,13333,8,13.09.2022,research article,Child Development,2020,"2020, 4",154,no,no,yes,no,"4, 5, 6",NA,no,usa,yes,no,90,no
NA,10.1111/cdev.13330,13330,0,13.09.2022,research article,Child Development,2020,"2020, 4",463,yes,no,yes,no,"6, 9",NA,yes,japan,yes,no,160,yes
NA,10.1111/cdev.13329,13329,24,13.09.2022,research article,Child Development,2020,"2020, 5",314,yes,no,no,no,"5, 7, 10",NA,no,uk,yes,no,860,yes
NA,10.1111/cdev.13328,13328,1,13.09.2022,research article,Child Development,2020,"2020, 4",147,no,no,no,no,"0, 1",NA,yes,usa,yes,no,56,no
NA,10.1111/cdev.13326,13326,5,13.09.2022,research article,Child Development,2020,"2020, 4",861,no,no,yes,no,"0, 2",NA,no,finland,yes,no,146,no
NA,10.1111/cdev.13325,13325,6,13.09.2022,research article,Child Development,2020,"2020, 4",263,no,no,no,no,"4, 5, 6, 7, 8, 9",NA,yes,usa,yes,no,240,no
NA,10.1111/cdev.13323,13323,2,13.09.2022,research article,Child Development,2020,"2020, 5",599,no,no,yes,no,"4, 5, 6, 7, 8, 9",NA,yes,usa,yes,no,435,no
NA,10.1111/cdev.13322,13322,2,13.09.2022,research article,Child Development,2020,"2020, 4",318,no,no,no,no,"0, 1, 2, 3",NA,no,usa,yes,no,1306,yes
NA,10.1111/cdev.13318,13318,3,13.09.2022,research article,Child Development,2020,"2020, 4",262,yes,yes,yes,no,"5, 6, 7, 8, 9, 10",NA,no,usa,yes,no,652,yes
NA,10.1111/cdev.13317,13317,10,13.09.2022,research article,Child Development,2020,"2020, 4",360,no,no,yes,no,"0, 1, 2, 3, 4, 5, 6",NA,no,uk,yes,no,5007,yes
NA,10.1111/cdev.13316,13316,15,13.09.2022,research article,Child Development,2020,"2020, 4",373,yes,no,yes,no,"4, 5, 8, 9",NA,yes,china,yes,no,421,no
NA,10.1111/cdev.13315,13315,42,13.09.2022,research article,Child Development,2020,"2020, 4",172,no,no,no,no,"5, 6",NA,no,usa,yes,no,101,no
NA,10.1111/cdev.13314,13314,3,13.09.2022,research article,Child Development,2020,"2020, 4",278,no,no,no,no,"6, 7, 8, 9, 10",NA,no,uk,yes,no,3236,no
NA,10.1111/cdev.13311,13311,6,13.09.2022,research article,Child Development,2020,"2020, 4",217,yes,no,yes,no,"9, 10",NA,no,india,yes,yes,"19, 20",yes
NA,10.1111/cdev.13309,13309,6,13.09.2022,research article,Child Development,2020,"2020, 4",285,no,no,yes,yes,"2, 3, 4, 5, 6",NA,no,usa,yes,no,144,no
NA,10.1111/cdev.13308,13308,9,13.09.2022,research article,Child Development,2020,"2020, 5",280,yes,no,no,yes,4,NA,no,usa,yes,no,3182,no
NA,10.1111/cdev.13307,13307,5,13.09.2022,research article,Child Development,2020,"2020, 4",332,no,no,yes,yes,"8, 9, 10",NA,no,usa,yes,yes,"69, 37",no
NA,10.1111/cdev.13306,13306,26,13.09.2022,research article,Child Development,2020,"2020, 4",387,yes,yes,yes,yes,"3,4,5,6,7,8,9,10",NA,no,"congo,tanzania",yes,yes,"33, 23",yes
NA,10.1111/cdev.13305,13305,8,13.09.2022,research article,Child Development,2020,"2020, 4",697,no,no,yes,no,"4, 5",NA,yes,usa,no,no,520,no
NA,10.1111/cdev.13304,13304,1,13.09.2022,research article,Child Development,2020,"2020, 4",219,no,no,no,yes,"1, 2",NA,no,new zealand,no,no,72,no
NA,10.1111/cdev.13303,13303,5,13.09.2022,research article,Child Development,2020,"2020, 4",574,no,no,yes,no,3,NA,yes,usa,no,no,125,no
NA,10.1111/cdev.13299,13299,3,13.09.2022,research article,Child Development,2020,"2020, 4",465,yes,no,yes,yes,"3, 4, 5, 6, 7, 8, 9, 10",NA,yes,"peru,usa",yes,yes,"341, 341",no
NA,10.1111/cdev.13298,13298,24,13.09.2022,research article,Child Development,2020,"2020, 4",366,no,no,no,no,"8, 9, 10",NA,no,netherlands,yes,no,289,yes
NA,10.1111/cdev.13297,13297,5,13.09.2022,research article,Child Development,2019,"2019, 5",154,no,no,no,no,"4, 5, 6, 7, 8",NA,no,usa,yes,no,97,no
NA,10.1111/cdev.13293,13293,8,13.09.2022,research article,Child Development,2020,"2020, 4",430,yes,no,yes,no,"5, 6, 7, 8, 9, 10",NA,yes,usa,yes,yes,"104, 90",no
NA,10.1111/cdev.13292,13292,22,13.09.2022,research article,Child Development,2020,"2020, 3",180,no,no,no,no,"8, 9, 10",NA,no,netherlands,yes,no,12,yes
NA,10.1111/cdev.13290,13290,6,13.09.2022,research article,Child Development,2020,"2020, 4",260,no,no,no,no,"4, 5",NA,yes,usa,yes,no,112,no
NA,10.1111/cdev.13289,13289,7,13.09.2022,research article,Child Development,2019,"2019, 5",454,yes,no,no,no,NA,"49.219, 7.252",no,usa,yes,no,466,no
NA,10.1111/cdev.13288,13288,16,13.09.2022,research article,Child Development,2020,"2020, 4",183,yes,no,no,yes,NA,"66.12, 4.17",no,usa,yes,no,312,no
NA,10.1111/cdev.13287,13287,20,13.09.2022,research article,Child Development,2020,"2020, 4",245,yes,no,no,yes,7,NA,no,finland,yes,no,200,no
NA,10.1111/cdev.13285,13285,6,13.09.2022,research article,Child Development,2020,"2020, 3",277,no,no,no,no,"7, 8, 9, 10",NA,no,usa,no,no,97,no
NA,10.1111/cdev.13284,13284,4,13.09.2022,research article,Child Development,2019,"2019, 5",786,yes,no,no,no,"7, 8, 9, 10",NA,no,italy,yes,yes,"10, 8, 7, 9",yes
NA,10.1111/cdev.13282,13282,2,13.09.2022,research article,Child Development,2019,"2019, 5",184,no,no,no,no,"0,1",NA,no,usa,no,no,38,no
NA,10.1111/cdev.13281,13281,17,13.09.2022,research article,Child Development,2020,"2020, 4",131,yes,no,yes,no,"0, 1, 2, 3, 5",NA,no,usa,yes,yes,1292,no
NA,10.1111/cdev.13280,13280,9,13.09.2022,research article,Child Development,2019,"2019, 5",178,yes,no,no,no,0,NA,no,canada,yes,no,96,no
NA,10.1111/cdev.13279,13279,5,13.09.2022,research article,Child Development,2020,"2020, 3",261,yes,no,yes,no,"4, 5, 6, 7, 8, 9",NA,yes,usa,yes,no,181,no
NA,10.1111/cdev.13278,13278,3,13.09.2022,research article,Child Development,2020,"2020, 4",82,no,no,no,no,"4, 5",NA,no,canada,yes,no,120,no
NA,10.1111/cdev.13277,13277,18,13.09.2022,research article,Child Development,2020,"2020, 3",229,no,no,yes,no,"0, 1",NA,no,usa,no,no,990,no
NA,10.1111/cdev.13275,13275,16,13.09.2022,research article,Child Development,2020,"2020, 3",1077,yes,no,yes,no,"4, 5, 6, 7, 8, 9, 10",NA,no,usa,yes,yes,"109, 837, 2402, 182, 109",yes
NA,10.1111/cdev.13274,13274,11,13.09.2022,research article,Child Development,2020,"2020, 3",207,no,no,no,no,1,"21.14, 2.64",no,usa,yes,no,29,no
NA,10.1111/cdev.13273,13273,19,13.09.2022,research article,Child Development,2020,"2020, 3",206,no,no,yes,yes,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NA,no,uk,yes,no,555,yes
NA,10.1111/cdev.13271,13271,5,13.09.2022,research article,Child Development,2020,"2020, 3",176,no,no,no,no,"0, 1, 2, 3",NA,no,usa,yes,no,1292,no
NA,10.1111/cdev.13270,13270,8,13.09.2022,research article,Child Development,2020,"2020, 3",178,no,no,no,no,4,NA,no,canada,no,no,95,no
NA,10.1111/cdev.13268,13268,5,13.09.2022,research article,Child Development,2020,"2020, 3",431,yes,no,yes,no,"9, 10",NA,no,"canada,usa",yes,no,270,yes
NA,10.1111/cdev.13267,13267,14,13.09.2022,research article,Child Development,2020,"2020, 3",999,yes,no,no,no,10,NA,no,netherlands,yes,no,10964,yes
NA,10.1111/cdev.13266,13266,5,13.09.2022,research article,Child Development,2020,"2020, 3",459,yes,no,no,no,"0, 1, 5, 10",NA,no,chile,yes,no,933,yes
NA,10.1111/cdev.13264,13264,7,13.09.2022,research article,Child Development,2020,"2020, 3",178,no,no,no,no,"8, 9, 10",NA,no,australia,yes,no,74,yes
NA,10.1111/cdev.13263,13263,11,13.09.2022,research article,Child Development,2020,"2020, 2",357,yes,no,yes,yes,"3, 4, 5, 6",NA,no,mexico,yes,no,61,no
NA,10.1111/cdev.13253,13253,19,13.09.2022,research article,Child Development,2019,"2019, 4",303,yes,no,yes,no,10,NA,no,china,yes,yes,507,yes
NA,10.1111/cdev.13252,13252,20,13.09.2022,research article,Child Development,2020,"2020, 2",222,no,no,yes,no,7,NA,no,usa,no,no,74,yes
NA,10.1111/cdev.13251,13251,9,13.09.2022,research article,Child Development,2019,"2019, 4",349,no,yes,no,no,0,NA,no,france,yes,no,60,no
NA,10.1111/cdev.13250,13250,12,13.09.2022,research article,Child Development,2020,"2020, 3",320,no,no,no,no,"0, 1",NA,yes,usa,yes,no,45,no
NA,10.1111/cdev.13249,13249,21,13.09.2022,research article,Child Development,2020,"2020, 2",233,no,no,no,no,"8, 9, 10",NA,no,usa,yes,no,"34, 31",yes
NA,10.1111/cdev.13248,13248,17,13.09.2022,research article,Child Development,2019,"2019, 4",153,no,no,yes,no,"8, 9, 10",NA,no,netherlands,yes,no,63,yes
NA,10.1111/cdev.13247,13247,2,13.09.2022,research article,Child Development,2020,"2020, 3",337,yes,no,no,no,"7, 8, 9, 10",NA,yes,australia,yes,no,81,no
NA,10.1111/cdev.13246,13246,8,13.09.2022,research article,Child Development,2019,"2019, 5",635,no,yes,yes,no,"5, 6, 7, 8, 9, 10",NA,yes,usa,yes,no,304,yes
NA,10.1111/cdev.13244,13244,8,13.09.2022,research article,Child Development,2020,"2020, 2",327,yes,no,yes,yes,0,NA,no,vietnam,yes,no,802,no
NA,10.1111/cdev.13243,13243,20,13.09.2022,research article,Child Development,2020,"2020, 3",386,yes,no,no,no,"6, 8, 10",NA,no,norway,yes,no,873,yes
NA,10.1111/cdev.13242,13242,8,13.09.2022,research article,Child Development,2020,"2020, 2",244,yes,no,no,yes,10,NA,no,usa,yes,no,327,yes
NA,10.1111/cdev.13241,13241,40,13.09.2022,research article,Child Development,2020,"2020, 3",134,no,no,no,no,"7, 8, 9, 10",NA,no,finland,yes,no,2525,yes
NA,10.1111/cdev.13239,13239,41,13.09.2022,research article,Child Development,2020,"2020, 3",398,no,no,no,no,"5, 6, 7, 8, 9",NA,no,usa,yes,no,94,no
NA,10.1111/cdev.13238,13238,13,13.09.2022,research article,Child Development,2020,"2020, 3",388,no,no,yes,yes,"4, 5, 6, 7, 8, 9",NA,yes,usa,yes,no,153,no
NA,10.1111/cdev.13237,13237,9,13.09.2022,empirical report,Child Development,2019,"2019, 3",115,no,no,no,no,4,NA,yes,usa,yes,no,75,no
NA,10.1111/cdev.13235,13235,6,13.09.2022,empirical report,Child Development,2019,"2019, 3",238,yes,no,no,no,"5, 6, 7, 8, 9, 10",NA,no,usa,no,no,149,yes
NA,10.1111/cdev.13232,13232,39,13.09.2022,research article,Child Development,2019,"2019, 5",182,no,no,no,no,"4, 5, 6",NA,no,usa,no,no,65,no
NA,10.1111/cdev.13231,13231,7,13.09.2022,research article,Child Development,2020,"2020, 3",618,no,no,no,no,"4, 5, 6, 7, 8, 9, 10",NA,yes,usa,yes,no,404,yes
NA,10.1111/cdev.13229,13229,9,13.09.2022,empirical report,Child Development,2019,"2019, 3",448,no,yes,yes,no,"8,9,10",NA,no,"belgium,usa",yes,no,320,yes
NA,10.1111/cdev.13226,13226,24,13.09.2022,research article,Child Development,2020,"2020, 2",397,yes,no,no,no,"6, 7, 8, 9, 10",NA,no,uk,yes,yes,"63, 68",yes
NA,10.1111/cdev.13224,13224,19,13.09.2022,research article,Child Development,2020,"2020, 1",421,yes,yes,yes,no,"0, 1",NA,no,usa,yes,no,83,no
NA,10.1111/cdev.13223,13223,18,13.09.2022,research article,Child Development,2020,"2020, 2",196,yes,no,yes,no,"9, 10",NA,no,turkey,yes,no,86,yes
NA,10.1111/cdev.13222,13222,3,13.09.2022,research article,Child Development,2020,"2020, 3",534,no,no,no,no,"6, 7, 8, 9, 10",NA,yes,usa,yes,no,87,yes
NA,10.1111/cdev.13220,13220,7,13.09.2022,research article,Child Development,2019,"2019, 5",512,yes,no,no,no,"5,6,7,8",NA,no,uk,yes,no,528,no
NA,10.1111/cdev.13219,13219,14,13.09.2022,research article,Child Development,2020,"2020, 2",73,no,no,no,no,"4, 5, 6, 7, 8, 9, 10",NA,no,australia,yes,no,4983,yes
NA,10.1111/cdev.13218,13218,21,13.09.2022,research article,Child Development,2020,"2020, 2",320,yes,no,no,yes,6,NA,no,"austria,canada,greece,netherlands",yes,yes,"175, 170, 254, 229, 113",no
NA,10.1111/cdev.13217,13217,25,13.09.2022,research article,Child Development,2019,"2019, 5",369,no,no,no,no,0.10000000000000001,NA,no,uk,yes,no,195,no
NA,10.1111/cdev.13216,13216,36,13.09.2022,research article,Child Development,2019,"2019, 6",535,no,no,no,no,"3,4,5,6,7,8",NA,no,uk,yes,no,234,no
NA,10.1111/cdev.13214,13214,1,13.09.2022,research article,Child Development,2020,"2020, 2",361,yes,no,no,yes,"0, 1, 2, 3, 5, 6, 7",NA,no,usa,yes,no,380,no
NA,10.1111/cdev.13212,13212,7,13.09.2022,research article,Child Development,2020,"2020, 2",566,no,no,no,no,"3, 4",NA,yes,usa,yes,no,136,no
NA,10.1111/cdev.13211,13211,12,13.09.2022,research article,Child Development,2020,"2020, 2",75,no,no,yes,no,"3, 4, 5, 6",NA,no,uk,yes,no,186,no
NA,10.1111/cdev.13210,13210,7,13.09.2022,research article,Child Development,2020,"2020, 2",293,no,yes,no,no,"8, 9, 10",NA,no,australia,yes,no,29,yes
NA,10.1111/cdev.13209,13209,23,13.09.2022,research article,Child Development,2020,"2020, 1",378,yes,yes,yes,yes,"5, 6, 7, 8, 9, 10",NA,yes,"turkey,usa",yes,yes,"74, 73",no
NA,10.1111/cdev.13208,13208,2,13.09.2022,research article,Child Development,2020,"2020, 2",243,no,no,no,no,"9, 10",NA,no,germany,yes,no,30,yes
NA,10.1111/cdev.13207,13207,14,13.09.2022,research article,Child Development,2020,"2020, 2",75,no,no,no,no,"0, 1, 3",NA,no,usa,yes,no,101,no
NA,10.1111/cdev.13206,13206,4,13.09.2022,research article,Child Development,2019,"2019, 5",242,no,no,no,no,"4,5,6,7",NA,no,china,yes,no,39,no
NA,10.1111/cdev.13203,13203,10,13.09.2022,research article,Child Development,2020,"2020, 3",357,no,no,no,no,"1, 2",NA,no,usa,yes,no,42,no
NA,10.1111/cdev.13202,13202,11,13.09.2022,research article,Child Development,2020,"2020, 2",251,yes,no,no,no,"5, 6, 7",NA,no,usa,yes,no,343,no
NA,10.1111/cdev.13201,13201,8,13.09.2022,research article,Child Development,2019,"2019, 2",205,no,no,no,no,"0,1,2",NA,no,usa,yes,no,18,no
NA,10.1111/cdev.13200,13200,21,13.09.2022,research article,Child Development,2019,"2019, 4",159,yes,no,no,no,"9,10",NA,no,australia,yes,no,12321,yes
NA,10.1111/cdev.13199,13199,23,13.09.2022,research article,Child Development,2020,"2020, 2",251,no,no,no,no,"4, 5",NA,no,usa,yes,no,72,no
NA,10.1111/cdev.13198,13198,10,13.09.2022,research article,Child Development,2019,"2019, 4",196,no,no,no,no,0,NA,no,sweden,yes,no,42,no
NA,10.1111/cdev.13197,13197,16,13.09.2022,research article,Child Development,2019,"2019, 2",250,yes,no,no,no,5,NA,no,usa,yes,yes,"24, 20",no
NA,10.1111/cdev.13196,13196,1,13.09.2022,research article,Child Development,2019,"2019, 2",121,no,yes,yes,no,"5,6",NA,no,usa,yes,no,144,no
NA,10.1111/cdev.13194,13194,16,13.09.2022,research article,Child Development,2020,"2020, 2",542,no,no,no,no,"4, 5, 6, 7, 8, 9, 10",NA,no,usa,yes,no,448,yes
NA,10.1111/cdev.13192,13192,8,13.09.2022,research article,Child Development,2020,"2020, 2",239,yes,no,no,no,"1, 3, 5",NA,no,norway,yes,no,17724,no
NA,10.1111/cdev.13191,13191,4,13.09.2022,research article,Child Development,2020,"2020, 2",214,no,no,no,no,"4, 5, 6, 7","4.60, 0.44",no,usa,yes,no,243,no
NA,10.1111/cdev.13190,13190,10,13.09.2022,research article,Child Development,2019,"2019, 1",448,yes,no,yes,no,3,NA,no,switzerland,yes,yes,"55, 55",no
NA,10.1111/cdev.13189,13189,2,13.09.2022,research article,Child Development,2020,"2020, 1",311,no,yes,no,no,4,NA,yes,usa,no,no,120,no
NA,10.1111/cdev.13188,13188,2,13.09.2022,research article,Child Development,2020,"2020, 2",345,no,no,no,no,"5, 6, 7, 8,9 10",NA,no,uk,yes,no,120,yes
NA,10.1111/cdev.13186,13186,6,13.09.2022,research article,Child Development,2020,"2020, 1",212,no,no,no,no,"5, 6",NA,no,netherlands,yes,no,106,no
NA,10.1111/cdev.13184,13184,7,13.09.2022,research article,Child Development,2019,"2019, 2",309,no,no,no,no,"5,6,7,8,9",NA,no,italy,yes,no,95,yes
NA,10.1111/cdev.13183,13183,18,13.09.2022,research article,Child Development,2020,"2020, 2",249,no,no,no,no,"2, 3, 4, 5",NA,no,usa,yes,no,424,no
NA,10.1111/cdev.13181,13181,38,13.09.2022,research article,Child Development,2020,"2020, 2",217,no,no,no,yes,"3, 4, 5, 6, 7, 8",NA,no,usa,yes,no,93,no
NA,10.1111/cdev.13180,13180,10,13.09.2022,research article,Child Development,2019,"2019, 1",415,no,no,yes,no,"3,4",NA,no,singapore,yes,no,256,no
NA,10.1111/cdev.13179,13179,11,13.09.2022,research article,Child Development,2020,"2020, 2",687,yes,no,no,no,NA,10.56,no,usa,yes,no,736,yes
